MSA_ID,ra,dec,prism_4,Mgrat_4,prism_5,Mgrat_5,prism_7,Mgrat_7,prism_8,Mgrat_8,prism_9,Mgrat_9,prism_10,Mgrat_10,prism_11,prism_12
000000,215.010022,53.013641,False,False,False,True,False,False,False,False,False,False,False,False,False,False
000002,214.994402,52.989379,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000003,215.005189,52.99658,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000004,215.005365,52.996697,False,False,False,True,False,False,False,False,False,False,False,False,False,False
000007,215.011706,52.988303,False,False,True,True,False,False,False,False,False,False,False,False,False,False
000009,215.043999,52.994302,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000020,214.830685,52.887771,True,True,False,False,False,False,False,False,False,False,False,False,False,False
000021,214.888127,52.858987,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000022,214.869661,52.843646,True,True,False,False,False,False,False,False,False,False,False,False,False,False
000023,214.901252,52.846997,False,False,False,False,False,False,False,False,False,False,False,True,False,False
000024,214.897232,52.843854,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000038,214.994937,53.007919,False,False,False,True,False,False,False,False,False,False,False,False,False,False
000040,214.992156,53.005989,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000044,215.001115,53.011269,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000052,215.01163,53.014141,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000064,215.008497,53.007332,False,False,True,True,False,False,False,False,False,False,False,False,False,False
000067,215.015597,53.011857,False,False,True,True,False,False,False,False,False,False,False,False,False,False
000076,215.021873,53.013324,False,False,False,True,False,False,False,False,False,False,False,False,False,False
000094,215.01471,52.997588,False,False,False,True,False,False,False,False,False,False,False,False,False,False
000099,215.009573,52.99303,False,False,True,True,False,False,False,False,False,False,False,False,False,False
000113,215.016174,52.995182,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000148,214.987974,52.96101,False,False,False,True,False,False,False,False,False,False,False,False,False,False
