Pointing,Disperser,Central_target,Companion
4,prism,386,35134
4,prism,757,19565
4,prism,5674,22842
4,prism,19960,9743
4,prism,17699,8656
4,Mgrat,386,35134
4,Mgrat,613,22310
5,prism,9141,30152
5,Mgrat,76,13348
7,prism,10685,24686
7,prism,2962,28042
8,prism,22247,14589
8,prism,37988,37993
8,prism,8997,37597
8,prism,1378,1381
8,prism,16772,40571
8,Mgrat,37597,8997
9,prism,3765,8735
9,prism,3929,3928
9,Mgrat,3535,27182
9,Mgrat,3929,3928
10,prism,42683,14904
10,prism,8656,17699
10,prism,17695,1779
10,Mgrat,1374,1376
10,Mgrat,41330,41323
11,prism,549,30308
11,prism,2549,9076
11,prism,3480,4696
11,prism,603,28944
11,prism,21913,36641
11,prism,40971,26509
11,prism,83534,24977
11,prism,80954,80955
11,prism,8105,85626
11,prism,85630,85634
11,prism,8045,83582
12,prism,3971,82049
12,prism,82167,82168
12,prism,1211,15972
